id,year,best,high,low
85911,2009,2,2,2
85912,2002,1,1,1
85914,2002,4,4,4
86121,2002,1,1,1
85915,2011,1,1,1
85916,1993,7,7,7
85917,1993,1,1,1
85918,2000,3,3,3
85919,1990,3,6,3
85920,1990,1,1,1
88108,2003,1,1,1
85923,1990,3,3,3
85924,2002,4,4,4
85925,2002,4,4,4
85929,2011,0,1,0
85930,2011,2,2,2
85934,2002,1,1,1
85935,2002,1,1,1
85940,1995,3,10,3
86122,2002,1,1,1
85941,1995,4,4,4
85942,2011,1,1,1
85943,2011,0,1,0
86889,1999,1,1,1
85944,2011,1,1,1
85947,2006,1,1,1
85948,2006,1,1,1
85949,2012,2,2,2
85950,2010,1,1,1
85951,2010,1,1,1
85953,2002,1,1,1
85954,2002,3,3,3
85956,2010,2,2,2
86006,2006,2,2,2
86007,2006,1,1,1
86008,2009,1,1,1
86009,2011,2,2,2
86012,1992,8,8,8
86013,1993,1,1,1
86014,1994,2,3,2
86015,1995,5,12,5
86016,1995,7,12,7
86034,2002,1,1,1
86111,1998,2,2,2
86112,1999,1,1,1
86113,1999,1,1,1
86115,2001,2,2,2
86116,2001,3,3,3
86117,2001,0,1,0
86118,2001,2,2,2
86119,2001,0,3,0
86123,2003,2,2,0
86124,2003,1,1,1
86271,2006,1,1,1
86149,1989,17,17,17
86150,1990,7,7,7
86151,1990,1,1,1
86152,1991,1,1,1
86154,1992,0,14,0
86156,2004,6,6,6
86180,2004,1,1,1
86181,1992,10,10,10
86182,1992,9,9,9
86186,1991,6,6,6
86191,1990,2,2,2
86192,1990,2,2,2
86193,1990,11,11,11
86194,1989,8,8,8
86201,1989,1,1,1
86203,1989,0,13,0
86204,1989,0,17,0
86205,1989,0,17,0
86206,2003,3,3,3
86207,2003,1,1,1
86208,2003,1,1,1
86238,2004,1,1,1
86213,1997,5,5,5
86214,2006,1,1,1
86216,2006,0,1,0
86221,2005,1,1,1
86222,2006,1,1,1
86223,2006,1,1,1
86224,2004,0,1,0
86225,2004,1,1,1
86231,1989,10,10,10
86232,1998,3,3,3
86235,1991,0,8,0
86242,2004,2,2,2
85865,2003,6,6,6
82265,2007,1,1,1
54994,1994,1,1,1
213014,2015,2,2,2
213008,2015,0,11,0
213052,2015,1,1,1
213056,2015,1,1,1
213058,2015,0,1,0
213060,2015,1,1,1
213093,2015,1,1,1
213094,2015,1,1,1
213095,2015,1,1,1
213096,2015,1,1,1
213097,2015,1,1,1
213098,2015,1,1,1
225075,2015,1,1,1
226955,2015,2,2,2
54998,1994,3,3,3
54964,1993,1,1,1
54968,1993,1,1,1
54969,1993,0,3,0
54972,1993,1,4,1
66010,2013,0,1,0
82278,2007,2,2,2
66017,2013,1,2,1
68402,2013,1,1,0
82275,2007,1,1,1
82276,2007,2,2,2
88324,2006,1,1,1
82277,2007,1,1,1
81792,2007,1,1,1
82280,2007,6,6,6
82537,2008,1,1,1
82027,2007,3,3,0
82261,2007,1,1,1
89538,2003,1,1,1
89539,2003,7,7,7
89542,2003,1,1,1
89543,2004,1,1,1
88177,1999,18,18,0
88322,2000,2,2,2
89322,2009,1,1,0
89527,1998,5,5,5
89532,2001,2,2,2
89534,2001,9,9,9
89537,2003,2,2,2
89531,1999,6,6,6
89544,2004,2,2,2
89545,2004,3,3,3
89546,2004,1,1,1
90014,2005,0,3,0
90046,2005,0,1,0
90032,2005,2,2,2
90034,2005,5,5,5
90035,2005,0,2,0
90038,2005,0,2,0
90043,2005,0,1,0
90946,1989,1,1,1
90947,1989,1,1,1
90948,1989,1,1,1
93986,2011,1,1,1
93987,2010,1,1,1
94001,2000,1,1,1
94008,2003,10,10,10
94009,2009,1,1,1
94050,1996,7,7,7
94229,2011,1,1,1
94153,2000,0,5,0
94052,1995,3,3,3
94142,2000,1,1,1
94143,2000,1,1,1
